Nom de la rue proche;Code de la rue proche;N° de police le plus proche;Identifiant;Geo Point;Geo Shape
Rue de Fer;1234;33;6;50.4655390736,4.8650798653;"{""coordinates"": [4.8650798653, 50.4655390736], ""type"": ""Point""}"
Rue de Bruxelles;1214;61;11;50.466241391,4.8605388309;"{""coordinates"": [4.8605388309, 50.466241391], ""type"": ""Point""}"
Boulevard Frère Orban;1236;4;20;50.4649116727,4.8563439468;"{""coordinates"": [4.8563439468, 50.4649116727], ""type"": ""Point""}"
Rue des Bourgeois;1804;8;119;50.4659541639,4.8723291358;"{""coordinates"": [4.8723291358, 50.4659541639], ""type"": ""Point""}"
Boulevard Cauchy;1807;45;125;50.4669481511,4.8756780656;"{""coordinates"": [4.8756780656, 50.4669481511], ""type"": ""Point""}"
Rue Delvaux;1811;25;133;50.4682829535,4.8704408576;"{""coordinates"": [4.8704408576, 50.4682829535], ""type"": ""Point""}"
Rue Patenier;1664;55;405;50.4635432479,4.8463644022;"{""coordinates"": [4.8463644022, 50.4635432479], ""type"": ""Point""}"
Place Louise Godin;1642;14;402;50.4609080396,4.8429008805;"{""coordinates"": [4.8429008805, 50.4609080396], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;76;203;50.4574446539,4.8696935242;"{""coordinates"": [4.8696935242, 50.4574446539], ""type"": ""Point""}"
Rue Général Michel;1823;13;135;50.4670313046,4.8712096393;"{""coordinates"": [4.8712096393, 50.4670313046], ""type"": ""Point""}"
Rue Grandgagnage;1245;21;24;50.4656862257,4.857685681;"{""coordinates"": [4.857685681, 50.4656862257], ""type"": ""Point""}"
Rue Rogier;1284;85;62;50.4672336659,4.8695262615;"{""coordinates"": [4.8695262615, 50.4672336659], ""type"": ""Point""}"
Rue d'Harscamp;1816;10;111;50.4630824015,4.8702774244;"{""coordinates"": [4.8702774244, 50.4630824015], ""type"": ""Point""}"
Rue Dewez;1812;48;129;50.4683157661,4.869274157;"{""coordinates"": [4.869274157, 50.4683157661], ""type"": ""Point""}"
Rue du Lombard;1818;39;142;50.4644505076,4.8701048704;"{""coordinates"": [4.8701048704, 50.4644505076], ""type"": ""Point""}"
Boulevard du Nord;1039;25;97;50.4701894919,4.8640871978;"{""coordinates"": [4.8640871978, 50.4701894919], ""type"": ""Point""}"
Rue de l'Ange;1200;81;78;50.4642444241,4.8650850223;"{""coordinates"": [4.8650850223, 50.4642444241], ""type"": ""Point""}"
Avenue Gouverneur Bovesse;5504;4B;213;50.4569996075,4.872773397;"{""coordinates"": [4.872773397, 50.4569996075], ""type"": ""Point""}"
Avenue Gouverneur Bovesse;5504;117;226;50.4595453143,4.875303877;"{""coordinates"": [4.875303877, 50.4595453143], ""type"": ""Point""}"
